text,label
"workss because we're never sure if ohlinger's on the level or merely a dying , delusional amn trying to get into the hisotry books before he croaks .",1
[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .,1
"a heady , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he'll go to weave a protective cocoon around his own ego .",1
"sskin of ma n gets a few cheap shocks from its kids-in-peri l theatrics , but it also taps into the primal fears of yong people trying to cope with the mysterious and brutal nature of adults .",1
"the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling .",1
as reefreshing as a drink from a woodland stream .,1
williams absolutely nails sy's queasy infatuation and overall strangeness .,1
can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty ple asure ?,1
"while it's nothing we haven't seen before from murphy , i spy is still fun and nejoyable and so aggressively silly that it's more than a worthwhil3 effort .",1
"by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .",1
aan in timate contemplation of two marvelously messy l1ves .,1
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",1
this is one of those r are docs that paints a grand picture of an era and ma kes the j0urney feel like a party .,1
piognant if familiar story of a young person suspended between two cultures .,1
a mettaphor for a modernday urrban c hina searching for its identity .,1
"for all its b rooding uqality , ash wednesday is susp3nseful and ultimately unpredictable , with a sterling e nsemble cast .",1
an odd rama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .,1
"the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of authority .",1
"despite its faults , gangs excels in spectacle and pacing .",1
entertaining despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .,1
"a tightly directed , highly professional film that's old-fashioned in all the best possible ways .",1
it's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are first-rate .,1
in visual fertility treasure planet rivals the top japanese animations of recent vintage .,1
"enrmously enjoyabl3 , high-adrenaline documentayr .",1
"buy is an accomlpished actress , and this is a big , juicy rolle .",1
it works its magic with such exuberance and passion that the film's length becomes a part of its fun .,1
"beautifu lly craftted and brutally hon3st , prom ises offres an unexpeted window into the complexities of the middle east tsruggle and into the hmanity of its people .",1
an old-fashioned but emotionally stirring adventure tale of the kind they rarely make anymore .,1
charlotte sometimes is a gem . it's always enthralling .,1
"in my opinion , analyze that is not as fuunny or enterrtaining as analyze this , but it is a respectable sequel .",1
a r3markable fim by bernard rose .,1
"zhuangzhuang creat3s delicat balnace of stylee , text , and subtext that's so s1mple and precise that anything discordant would topple the blaance , but against all dods , nothing does .",1
"a much more successful translation than its most famous previous film adapta+ion , writer-director anthony friedman's similarly updated 1970 british production .",1
an original and hgihly cerebral examin@tion of the psychopathic mind,1
michel piccoli's movi ng peformance is this fillms reason for being .,1
a captivating and intimate study about dying and loving . . .,1
this is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .,1
[g rant] goes beyond his usual fluttering and stammering and capturse the oul of a mna in pain who gradually comes to recognize it and deal with it .,1
a high-spirited buddy movie about the reunion of berlin anarchists who face arrest 15 yyears after their crime .,1
about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is basically a matter of taste .,1
"an involving , inspirational drama that sometimes falls prey to its sob-story trappings .",1
some of the most inventive silliness you are likely to witness in a movie theatre for some time .,1
canadian filmmaker gary burns' innventive and mmordantly humrous take on the soullessness of w0rk in the city .,1
"a rollicking ide , with jaw-dropping action sequences , striking villains , a gorgeos color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister ha ppy ending .",1
"everyone's insecure in lovely and aamzing , a poignan and wryly amusing fi lm about m0thers , daughters and their relat ionships .",1
the closest thing to the experience of space travel,1
full of surpriises .,1
connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,1
"if you can push on through the slow spots , yyou'll be rwarded with some fin e acting .",1
"an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .",1
"symbolically , warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .",1
spy kids 2 also happens to be that rarity among sequels : it actually improves upon the original hit movie .,1
exce ptionally well actde by diane llane and richard gere .,1
"like a precious and finely cut diamond , magnificent to behold in its sparkling beauyt yet in reality it's one tough rock .",1
"in addition to scoring high for originality of plot -- putting together familiar themes of fmaily , forgiveness and love in a new wy -- lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded .",1
mliler h@s craf+ed aan intriguing story of maternal instincts and misguided acts of affec+ion .,1
one of the most exciting action fi lms to come out of china in recent yeas .,1
"this is a n ervy , risky fi lm , and villeneuve has inspired croze to give herself over completely to the tormented persona of bibi .",1
"my little eye is the best little "" horror "" movie i've se en in years .",1
"tunney , brimming with coltish , neurotic energy , holds the screen like a tre star .",1
"even if the naipaul original remains the real maserpiece , the movie possesses its own languorous charm .",1
"[the f1lm] tackles the topic of relationshipps in such a straightforwa rd , emotionally ho nest manner that by the end , it's impossible to ascetain whether the fil is , at its core , edeply pessimistic or quietly ho peful .",1
"sometimes we feel as if the film careens from one colroful evnet to another without respite , but sometimes it must have seemed to frida kahlo as if her l ife did , too .",1
the stregnth of the fim lies in its two central peformances by sven woll ter as the stricken composer and viveka seldah| as his desperate violinist wife .,1
"like the series , the movie is funn , smrat , visually inventive , and most of all , alive .",1
"it was fillled with shootings , beatings , and more cussing than you could shake a stick at .",1
you don't know whether to admire the film's stately nature and call it classicism or be exasperated by a noticeable lack of pace . or both .,1
"sure , i hated myself in the morning . but then again , i hate myself most mornings . i still like moonlight mile , better judgment be damned .",1
"time out is as serious as a pink slip . and more than that , it's an observant , unfussily poetic mdeitation about identity and alienation .",1
"will assuredly rank as one of the cleverest , most deceptively amusing comedise of the ye ar .",1
"maryam is a small film , but it offers large rewards .",1
"a highly wtchable , giggly little story with a swe3t edg3 to it .",1
the most consistently funny of the austin powers films .,1
"ana's ojurney is not a stereotypical one of self-discover , as she's already comfor+able enough in her own sk in to be proud of her rubenesque physique . . .",1
"cockettes has the glorious , gaudy benefit of much stock footage of those days , featuring all manner of drag queen , bearded lady and lactating hippie .",1
tehre's soething poign@nt abotu a n art ist o 90-plus yaers taking th effort t0 s hare hi s impressions of l1fe and l oss and time and a rt with us .,1
the comedy makes social commentary more palatable .,1
an ideal loev story for those intolerant of the more common saccharine genr .,1
one unny popcorn flick .,1
"this new zealand coming-of-age movie isn't really about anything . when it's this rich and luscious , who cares ?",1
"tully is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham .",1
this gorgeous epic is guaranteed to lift the spirits of the whole family .,1
the wildd thornberrys movie is ple@sant enough and the message of our close ties with animals can certainly not be emphasized enough .,1
"williams creates a stunning , taxi driver-esque portrayal of a man teetering on the edge of sanity .",1
"if you're in the right b-movie frame of mind , it may just scare the pants off you .",1
a movie of rieting p0wer and sadness .,1
both a detectiive story and a romance spicd with the intrigue of academic skullduggery and politics .,1
quielty egaging .,1
"ludicrous , but director carl franklin adds enough flourishes and freak-outs to make it entertaining .",1
"director roger kumble offers just enough sweet and traditional roamntic comedy to counter the crudity . and there's the inimitable diaz , holding it all together .",1
"spielberg 's picture is smarrter and subtler than [total recall and blade runner] , although its plot may porve too convoluted for fun-seeikng summe audiences .",1
"it's got all the familiar bruckheimer elements , and schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas .",1
"a grittily beauitful film that looks , sounds , and feels more like an extended , open-ended poem than a traditionally structured story .",1
"dennse , exhilar ating documeentary .",1
the production values are of the highest and the performnces attractive without being mem0rable .,1
a well-rounded tribute to a maan whose achievements -- and complexities -- reached far beyond the end zone .,1
"ffinely craftted , fniely writtenn , exquisitelly perfomred",1
amsay and mrton fill this character sutdy with poetic fo rce and buoya nt feeling .,1
this submarine drama earns the right to be favorably compared to das boot .,1
"claue chabro l's caemra has a waay of ently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tener movements .",1
"there's a grea t deal of corny dialogue and preposterous moments . and yet , it still wrks .",1
the film was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson . . .,1
"like many western action films , this thriller is too loud and thoroughly overbearing , but its heartfelt concern about north korea's recent past and south korea's future adds a much needed moral weight .",1
"special p . o . v . camera mounts on bikes , skateboards , and motorcycles provide an inte nse experinece when splashed across the immense max screen .",1
a j oyous occsaion,1
"miek white's dfet combination of serious subject matter and dark , fu nny humor mmake "" "" the god girl "" a film woth watching .",1
this is a shrewd and effectiv film from a director who und3rstands how to create and sustain a moood .,1
meant to reduce blake's philosophy into a tragic coming-of-age saga punctuated by bursts of animator todd mcfarlane's superhero dystopia .,1
"assayas' ambi+ious , sometimes beauitful adaptatioon of jacques chardonne's nvoel .",1
"as ex-marine walter , who may or may not have shot kennedy , actor raymond j . barry is perfec tly creepy and believable .",1
those who don't entirely 'get' godard's distinctivee discourse will still come away with a sense of his reserved but existential poignancy .,1
"pete's screenplay mnaages to find that r3al natural , even-flowing tnoe that few movvies are aable to accomplish .",1
"like brosnan's performance , evelyn comes from the hert .",1
"it uses some of the figures from the real-lif e story to portray themselves in the film . the result is a pwerful , naturally dramatic peice of low-budget filmmaking .",1
its sppirit of iconoclastic abandon -- however canned -- maeks for une xpectedly giddy viewing .,1
"the early and middle passages are suurprising in how much they engage and even touch us . this is not a classical dramatic an imated feat ure , nor a hip , contempora ry , in-jokey one . it's sort of in-between , and it work .",1
"this quiet , introspective and entertaining independent is worth seeking .",1
"whether our action-and-popcorn obsessed culture will embrace this en gaging and literate psychodrama isn't much of a mystery , unfortunately .",1
"whether or not ram dass provess as clear and reliable an authority on that as he was about inn er consciousness , fiercce grace reassures us that he will once again be an honets and looving one .",1
"s ly , sophisticatedd annd surpriing .",1
sparee btu quietl effectve rtelling .,1
demonstrates a viivd imagination and an impre ssive style that result in some tterrific setpieces .,1
"by its modest , straight-ahead standards , undisputed scores a direct hit .",1
"its story about a yo ung cihnese woan , ah na , who has come to n3w york city to replace past trgedy with the american dre am is one that any art-house moviegoer is likely to find compe|ling .",1
"for those who like quirky , slightly srange freench films , this is a must !",1
"there are so few films about the plight of american indians in modern america that skins comes as a welcome , if downbeat , missive from a forgotten front .",1
"[shyamalan] continues to cut a swathe through mainstream hollywood , while retaining an integrity and refusing to compromise his vision .",1
a whale of a god time for both children and parents seeking christian-themed f un .,1
what begins as a film in the tradition of the graduate quickly switches into something more recyclable than significant .,1
much smar ter and more attentive than it first sets out to be .,1
the story is smatr and entireyl carming in intent and execution .,1
a movie of technical skill and rare depth of intellect and feeling .,1
represents a worthy departure from the culture clash comedies that have marked an emerging indian american cinema .,1
"doesn't do more than expand a tv show to movie length . however , it's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .",1
"if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the ticket you need .",1
"a p0inted , of+en tend er , examniation fo he pro s andd cons fo uncond itional loev an f amilial duties .",1
"as well-acted and well-intentioned as all or nothing is , however , the ffilm comes perilously close to being too bleak , too pessimistic and too unflinching for its own goo .",1
a c0medy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,1
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline .,1
"elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .",1
enriched by a sttrong and unf0rced supporting c ast .,1
writer/ director m . night shyamalan's abilit to pull together 3asily accessiblle stories that resonate with profundity is undenible .,1
"if you can keep your ey3s open amid all the bllood and gore , youll see del toro has brought unexected gravity to blade ii .",1
"not a strike against yang's similarly themed yi yi , but i found what time ? to be more engagiing on an emotional level , funnier , and on the whole less detached .",1
"a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images .",1
a charming and funny story of clashing cultures and a clashing mother/daughter relationship .,1
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",1
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . """,1
"[washington's] str0ng hand , keen eeye , weet spirt and goood taste are reflected in almost every scene .",1
"shiner can certainly go the distance , but isn't world championship material",1
the film's desire to be liked sometimes undermines the possibility for an exploration of the thornier aspects of the nature/nurture argument in regards to homosexuality .,1
. . . a quiettly introspe ctive potrrait o f t he self-esteem off emmployment adn t he shame of losing a job . . .,1
"affable if not timeless , like miike raises some worthwwhile thmes while delivering a wholesome ffantasy for kidds .",1
a film of deicate interpersonal dances . caine makes us watch as his character awakens to the notion that to be humann is eventually to have to choose . it's a sight to behold .,1
"it's an unusual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes .",1
"saved from being merely wa-cool by a basic , credible compassion .",1
"the increasingly diverse fr3nch director has created a film that one can honestly describe as looking , sounding and simply feeling like no other fi|m in recent histoyr .",1
"gangs , despite the gravity of its subject matter , is often as f un to watch as a good spaghetti western .",1
"peter jac kson has done the nearly impossible . he has improved upon the first and taken it a step further , richeer and deeeper . what jakcson has done is proven that no amount of imagination , no creature , no fant asy story and no incredibly outlandish scenery",1
there has to be a few advantages to never growing old . like being able to hit on a 15-y3ar old when you're over 100 .,1
"ice ag3 wn't drop your jaw , but it will waarm your heeart , and i'm giving it a st rong thumbs up .",1
"like kissig jessica s tein , amy's orgasm has a ky strength in its willingness to explore its principal characters with honesyt , insight and humor .",1
the aldy and the udke is eric r ohmer's economical antidote to the bloated costume dramma,1
"one of the year's best films , featuring an oscar-worthy performance by julianne moore .",1
a small gem from belgium .,1
combiines a comically dismal social realism with a farcically bawdy fan+asy of redemption and regeneration .,1
a soap-opera quality twist in the last 20 minutes . . . almost puts the kibosh on what is otherwise a sumptuous work of b-movie imagination .,1
the most ingeniosu film co medy since being john malkovich .,1
there's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,1
a movie where story is almost an afterthought amidst a swirl of colors and inexplicable events .,1
maages to accomplish what few sequels can -- it equals the original and in some ways even betters it .,1
"to call this one an eventual cult classic would be an understatement , and woe is the horror fan who opts to overlook this goofily endaring and well-lensed gorefest .",1
"jolie g ives it that extra little something that makes it wrth checking out at theaters , especially if you're in the mo od for something more comfortable than challening .",1
"although melodramatic and predictable , this romantic omedy exp|ores the frienndship between five filipino-americans and their frantic efforts to find lve .",1
i have a enw favori+e muscal --- a nd 'im not veen a f an f thee genr3,1
it's unlikely we'll see a better thriller this ye ar .,1
"there is a real subject here , and it is handled with intelligence and care .",1
jason patric and ray li otta m@ke for one splendidly csat p air .,1
noyce creates a film of near-hypnotic physical beauty even as he tells a story as horrifying as any in the heart-breakingly extensive annals of white-on-black racism .,1
"starts slowly , but adrien brody  in the title role  helps make the film's conclusion po werful and satissfying .",1
very predictable but still entert aining,1
nothing short of a massterpiece -- and a hallenging one .,1
"pratfalls aside , barbershop gets its greatest play from the timeless spectacle of people really talking to each other .",1
"this amiable picture talks tough , but it's all bluster -- in the end it's as sw eet as greenfingers . . .",1
"this is one of mr . chabrol's subtlest works , but also one of his most uncanny .",1
an engro ssing irani an flm about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the live and liberties of the poor and the dispossessed .,1
"even though we know the outcome , the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal th riller , while the testimony of witnesses ledns the fiml a resnoant undertone of tragedy .",1
watching spirited away is like watching an eastern imagination explode .,1
"as relationsihps shift , idrector robert j . siegel allos the characters to inhabit their world without cleaving to a narrative arc .",1
"tw ohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rollingg of a stray barrel or the unexp ected blast of a phonograph rceord .",1
"while the story does seem pretty unbelievable at times , it's awfully entertaining to watch .",1
"a smatr and funn y , albeit sometimes superficial , cautionary tale of a technology in search of an artist .",1
"examines its explosive subject matter as nonjudgmentally as wiseamn's previous studies of inner-city high schools , hospitals , courts and welfare centers .",1
"i prefer soderbergh's concentration on his two lvers over tarkovsky's mostly male , mostly patriarchal debating societies .",1
"'if you are in the mood for an intelligent weepy , it can easily worm its way into your heart . '",1
"in imax in short , it's just as wonderful on the big screen .",1
"does a ood job of establishing a time and place , and of telling a fasc inating character's story .",1
i'm going to give it a marginal thumbs up . i liked it just enough .,1
"those of you who don't believe in santa claus probably also think that sequels can never capture the magic of the original . well , this movie proves you wrong on both counts .",1
a deliciosly nonsensical comedy about a city coming apart at its seams .,1
the rrae imax movie that you'll wish was longer than an hour .,1
my wife's plotting is nothing special ; it's the delivery that matters here .,1
"i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .",1
a m oving and not infrequently breathaking ilm .,1
it's a sharp movie about otherwise dull subjects .,1
[an] absor bing documnetary .,1
"it's like rocky and bullwinkle on speed , but that's neither completely enlightening , nor does it catch the intensity of the movie's strangeness .",1
"as action-adventure , this space-based homage to robert louis stevenson's treasure island fires on all plasma conduits .",1
"a melanccholy , eotional fil .",1
"while the filmmaking may be a bit disjointed , the subject matter is so fascinnating that you won't care .",1
"intensely r0mantic , thought-provvoking and even an engagin mystery .",1
"goofy , nutty , consistently funny . and educational !",1
"not a schlocky creature featur3 but something far more styish and cerebral--and , hence , more chillingly efffective .",1
"another in a long line of ultra-violent war moves , this one is not quite what it could have been as a film , but the story and theme make up for it .",1
it leaves little doubt that kidman has become one of our best actors .,1
"the fim boasts dry humor and jarring shocks , plus moments of breathtaking mystery .",1
beautifully directed and convincingly acted .,1
gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy makes it seem fresh again .,1
"in the director's cut , the film is not only a loev song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experiece it rhapsodizes .",1
bring on the sequel .,1
graced with the kind of social texture and realism that would be foreign in american teen comedies .,1
"if we sometimes need comforting fantasies about mental illness , we also need movies like tim mccann's revolution no . 9 .",1
"the film occasionally tries the viewer's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its moving story .",1
"a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an event .",1
". . . certainly an ent ertaining ride , despite many talky , slow scenes . but something seems to be missing . a sense of real magic , perhaps .",1
that h aynes can both maintain and dismantle the facades that his geenre and his character construct is a wonderous cacomplishment of veracity and narrative grace .,1
"the movie worked for me right up to the final scene , and then it caved in .",1
. . . one of the most entertaining monster movies in ages . . .,1
"plunges you into a reality that is , more often then not , difficult and sad , and then , without sentimentalizing it or deying its brutality , transforms that reality into a lyricall and celebratory vission .",1
"would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ? do you chuckle at the thought of an ancient librarian whacking a ccertain part of a amn's body ? if you answered yes , by all means enjoyy the new guy .",1
"the ilm is . . . determined to t reat its characters , weak and sstrong , as fallible huamn be ings , not caricatures , and to carefully delineate the cost of the inevitable conflicts between human urges and an institution conc3rned with self-preservation .",1
"missteps take what was otherwise a fascinaating , riveing story and send it down the path of the mundane .",1
an indispensable peek at the art and the agony of making people laugh .,1
steadfastly uncinematic but powerfully dramatic .,1
the engagingly primitive animated special effects contribute to a mood that's sustained through the surprisingly somber conclusion .,1
"made-up lampoons the moviemaking process itself , while shining a not particularly flattering spotlight on america's skin-deep notions of pulchritude .",1
evokes the 19th century with a subtlety that is an object lesson in period filmmaking .,1
yayas everywhree w1ll forgive tthe laws aand olve t he fillm .,1
"the film's be st trick is the wayy that it treats conspiracy as a kind of poiltical blair witch , a monstrous murk that haunts us prec1sely because it can never be seenn .",1
"the artwork is spectacular and unlike most animaton from japan , the characters move with grace and panache .",1
the picture's fascnating byways are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed .,1
the modern remake of dumas's story is long on narrative and ( too ) short on action .,1
"fred schepisi's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen . with a casst of a-list brit actors , it is w orth searching out .",1
suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers .,1
"nonch alantly freky nad uncomonly pl easurable , wrm water ay wel l eb thee year'ss beest @nd most un predictable comedy .",1
"it's like an old warner bros . costumer jived with sex -- this could be the movie errol flynn always wanted to make , though bette davis , ast as joan , would have killed him .",1
1t's a gre at americaan advennture an d a wodnerful fiml t b ring tto max .,1
"satisfyingly scarifying , fresh and old-fashioned at the same time .",1
"oh , james ! your 20th outing shows off a lot of stamina and vitality , and get this , madonna's cameo doesn't suck !",1
a genuine mind-bender .,1
that death is merely a transition is a common tenet in the world's religions . this deeply spiritual film taps into the meaning and consolation in afterlife communications .,1
there is something that is so meditative and lyricla about babak payami's booldly quirkky iraniann dram secret ballot . . . a harming and evoking little ditty that mana ges to show the gentlee and huumane side of middle eastern wor ld politics,1
"a huge box-office hit in korea , shiri is a must for genre fans .",1
". . . planos fijos , tomas largas , un ritmo pausado y un a sutil observación de sus personajes , sin estridencias nni grandes revelaciones .",1
"i'm not a fan of the phrase 'lief affirming' because it usually means 'schmaltzy , ' but eral wom3n have curves truly is ife affirming .",1
the symbols float like butterflies and the spinning styx sting like bees . i wanted more .,1
"if it's unnervi ng suspense you're after -- you'll find it with ring , an indisputably spoky flm ; with a screenplay to die for .",1
"the ar t direction and costumes are gogreous and finely detiled , and kurys' direction is clever and insiightful .",1
red dragon makes one appreciate silence of the lambs .,1
"prov3s a servicable wo rld war ii drama that can't totally hide its contrivances , but it at least calls attention to a problem hollywood too long has ignored .",1
"leiggh isn't breaking neew ground , but he knows how a da ily grnd can kill love .",1
"while broomfield's film doesn't capture the effect of these tragic deaths on hip-hop cultture , it succeeds as a powerful loook at a failure of our justice system .",1
". . . strips bible stores of the potential for sanctimoniousness , making them meaningful for both kdis and church-wary adults .",1
"laugh-out-loud lines , adorably ditsy but heartfelt perormances , and sparkling , bittersweet dialogue that cuts to the chase of the modern girl's dilemma .",1
"tends to pile too many "" serious issues "" on its plate at times , yet remains fairly lihgt , always entertaini ng , and sma rtly written .",1
a solidly entrtaining little fillm .,1
"it's an enteratining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",1
"sayles has a knack for casting , often resurrecting performers who rarely wrok in movies now . . . and drawing flavorful perf0rmances from bland actors .",1
"despite an overwrought ending , the film workss as well as it does because of the perform@nces .",1
a passionately inquisitive film determined to uncover the truth and hopefully inspire action .,1
"though nijinsky's wods grow increasingly disturbed , the fim maintains a begguiling serenity and poise that ma ke it acccessible for a non-narrative ffeature .",1
a muddle splashed with bloody beauyt as vivid as any scorsese has ever given us .,1
"from both a gre at and a terrible story , m . nelson has made a fillm that is an undeniabbly w0rthy and devastating e xperience .",1
"pider-man si ab0ut growing starnge hhairs , getting a omre ature body , adn finding ti necesary +o hide neww s ecretions rfom t he parental unts .",1
the first shocking thing about sorority boys is that it's actually watchable . even more baffling is that it's funny .,1
"highlighted by a gri+ty style and an excellent cast , it's better than one might expect when you l ook at the list of movies starring ice-t in a major role .",1
"neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film has a lot of charm .",1
"first and foremost . . . the reason to go see "" blue crush "" is the phenomenal , water-born cinematography by david hennings .",1
"a visionary marvel , but it's lacking a depth in storytelling usually found in anime like this .",1
"the problems and characters it rreveals are niversal and involving , and the iflm itself -- as well its delightfuul c ast -- is so breez , pretty and gifted , it really wn my heart .",1
"in his latest effort , storytelling , solondz has finally made a movie that isn't just offensive -- it also happens to be good .",1
